key,environment,family,difficulty,trajectory,start,frames,split,depth_median_m,depth_max_m,depth_masked_columns,flow_valid_share,boundary_share,lum_mean,step_m_median,sha256
AbandonedCable/easy/P007/000920,AbandonedCable,AbandonedCable,easy,P007,920,32,train,2.0039,166.12,0,0.9796,0.216,0.258,0.0689,0a07549c683042f21cfbbe25ab641cb6611489b2661e043f6426b9ae034d0edb
AbandonedCable/easy/P007/002794,AbandonedCable,AbandonedCable,easy,P007,2794,32,train,2.4043,50720.0,0,0.9768,0.254,0.5781,0.1514,e6cc48dee990563e9ef7f3cce6519ecc51962570e55e38d11b6f08bc60aad2ef
AbandonedCable/hard/P000/000351,AbandonedCable,AbandonedCable,hard,P000,351,32,train,49376.0,59904.0,0,0.9545,0.2012,0.6368,0.3891,4f48ef5a1d29c5db7ab50964d4180e195bf20b66de7df43596c9be1301fa57c4
AbandonedCable/hard/P000/001085,AbandonedCable,AbandonedCable,hard,P000,1085,32,train,12.0938,56128.0,0,0.8689,0.5172,0.6369,0.8218,ac67f07295ddd485efd7c19119401a414a1134dd8bde1261f90a57542897b405
AbandonedCable/hard/P001/000190,AbandonedCable,AbandonedCable,hard,P001,190,32,train,4.8809,50.59,0,0.9625,0.4368,0.0432,0.1665,9e3f2f2e28a0732bdcb35b60cdb538720c0131c90e76bac5512d5aeda4951cba
AbandonedCable/hard/P001/000601,AbandonedCable,AbandonedCable,hard,P001,601,32,train,8.7344,59904.0,0,0.9497,0.5379,0.4179,0.1175,627b4857c0a3af15a2fa6dce1bf859a7899a75a3744c5d45895e590ec3889cb2
AbandonedCable/hard/P002/000586,AbandonedCable,AbandonedCable,hard,P002,586,32,train,3026.0,4080.0,0,0.8364,0.4288,0.547,0.5658,20617d9b83a0d512b1657dafd4a16937adb562f6be8c2be324644fa6e8bd42dd
AbandonedCable/hard/P002/001789,AbandonedCable,AbandonedCable,hard,P002,1789,32,train,3308.0,4062.0,0,0.9685,0.1401,0.8107,0.3698,9e2939ccce6b49fc073eba0eb5baa7b7c8caa4b42f21c268dade2aacebdb8348
AbandonedCable/hard/P003/000735,AbandonedCable,AbandonedCable,hard,P003,735,32,train,6.6055,4030.0,0,0.9013,0.4785,0.3856,0.2679,7004e5718c46336f3d9cb265a68eaef6e8edd614b4db05bbc7d400b2831a286e
AbandonedCable/hard/P003/002236,AbandonedCable,AbandonedCable,hard,P003,2236,32,train,4.4141,3524.0,0,0.9582,0.4739,0.5444,0.3127,79d96f209bff5948f2f0f42872a8a3de4ac716173d0b04965ccf0229f84c2ba9
AbandonedCable/hard/P004/000489,AbandonedCable,AbandonedCable,hard,P004,489,32,train,5.9023,59904.0,0,0.9397,0.3896,0.1435,0.2211,3718fb2fcccc0c274cf21de7cbcb522430ac454b2a5ce82a72d393806736b229
AbandonedCable/hard/P004/001500,AbandonedCable,AbandonedCable,hard,P004,1500,32,train,8.1406,131.5,0,0.9528,0.6298,0.0608,0.2566,f10ba68c6ffd9450c9a996c25a436250cc0a2fa15af6e9442a55c6d5b88fe7f4
AbandonedCable/hard/P005/000438,AbandonedCable,AbandonedCable,hard,P005,438,32,train,7.2422,50464.0,0,0.9563,0.4917,0.6268,0.3793,a8167241c0507ce000b70204119568e582528c1323442e0f0a8872651a169c2a
AbandonedCable/hard/P005/001348,AbandonedCable,AbandonedCable,hard,P005,1348,32,train,1.9307,17.33,0,0.9595,0.0611,0.1759,0.2247,ee0dc7c22fae3a6dab3a8152c5f7a51490a6dffca93053133cd16b10728ce438
AbandonedCable/hard/P006/000493,AbandonedCable,AbandonedCable,hard,P006,493,32,train,8.7969,4148.0,0,0.9457,0.4981,0.1885,0.1356,8ac62f7c90c6f93b620e8d30e5229647118101a9831298ba4f36b42c3324ffbb
AbandonedCable/hard/P006/001512,AbandonedCable,AbandonedCable,hard,P006,1512,32,train,6.2734,137.5,0,0.9513,0.3828,0.2324,0.2207,b02fdc5692b3f483f146d0b1d3747c1e9aea4e5aba72efda21b9d18b6ddb144c
AbandonedCable/hard/P007/000434,AbandonedCable,AbandonedCable,hard,P007,434,32,train,1.2607,57.25,0,0.7448,0.1182,0.1311,0.4912,37645635f0bb8ed61a0421a00cfc29da0232f84f72521a62741a47d636f1e487
AbandonedCable/hard/P007/001332,AbandonedCable,AbandonedCable,hard,P007,1332,32,train,9.7969,4012.0,0,0.8244,0.4447,0.5801,0.3639,9b6dab01bbe2ee6f81ee83a2b2aee30c8629f6e066154272ac4d0fdfcf560db2
AbandonedFactory/easy/P000/000354,AbandonedFactory,AbandonedFactory,easy,P000,354,32,train,6.5547,14680.0,0,0.9633,0.3767,0.3918,0.2197,49dbd47c7b9fc3d7d47c11bdd347457cd0215c68a8bdc5457efa2787b3a5080c
AbandonedFactory/easy/P000/001094,AbandonedFactory,AbandonedFactory,easy,P000,1094,32,train,9.0625,15952.0,0,0.9525,0.3168,0.6456,0.1847,c526f400346ecf1374cf6f089e33025e35ba12e0886c424f76248856546794e1
AbandonedFactory/easy/P001/000248,AbandonedFactory,AbandonedFactory,easy,P001,248,32,train,4.8555,16016.0,0,0.9304,0.5333,0.2286,0.1821,ac901b6554c88c2b092e31fef0959862527af0dc4f213713a80304dab255eb1a
AbandonedFactory/easy/P001/000775,AbandonedFactory,AbandonedFactory,easy,P001,775,32,train,8.332,16360.0,0,0.9121,0.2922,0.3303,0.2887,372ef4660c53211dd6fd2067548a2c9ea198ae30cbb4c9ff366d17f20f7d2975
AbandonedFactory/easy/P002/000158,AbandonedFactory,AbandonedFactory,easy,P002,158,32,train,3.5742,16080.0,0,0.9771,0.1787,0.6007,0.3523,53bbf9ec45386f2949da0e629bd87df898ad6a691c9bbaefdb4c8ba8c3d505fb
AbandonedFactory/easy/P002/000508,AbandonedFactory,AbandonedFactory,easy,P002,508,32,train,3.3594,16296.0,0,0.9669,0.1961,0.2759,0.1305,605da8c0521eb53133adf3b0991a706f7cb565b70d25883cd9e66b5dd160a3d7
AbandonedFactory/easy/P003/000236,AbandonedFactory,AbandonedFactory,easy,P003,236,32,train,5.3828,15784.0,0,0.9612,0.343,0.3013,0.2984,a4267ca1a9fb369044a48b0ad7675f019296167835598b6ee998ed040be6ea41
AbandonedFactory/easy/P003/000741,AbandonedFactory,AbandonedFactory,easy,P003,741,32,train,4.8477,12128.0,0,0.9718,0.2448,0.207,0.346,8624de4797fc29d1f6efd891c37d0d2ae0c2bf81c1582624665392d1d9a24b3c
AbandonedFactory/easy/P004/000186,AbandonedFactory,AbandonedFactory,easy,P004,186,32,train,7.5703,14272.0,0,0.9363,0.5165,0.5136,0.3082,d24aef797bd613851ae5a9142d49dc5206d53ed497b86ba9d302ca96fb7adbc1
AbandonedFactory/easy/P004/000589,AbandonedFactory,AbandonedFactory,easy,P004,589,32,train,23.6953,16344.0,0,0.9675,0.3018,0.5839,0.2955,92014c070eb9cf19ffd7ad3592c2e9ca58995996b53f2c4e1f436e886bce4c1d
AbandonedFactory/easy/P005/000158,AbandonedFactory,AbandonedFactory,easy,P005,158,32,train,7.4121,16224.0,0,0.9768,0.3002,0.5711,0.2598,1bfe52294f3db8dd5e2b6effc7e227962d32f8cc9bd98e478edb37bb488833f7
AbandonedFactory/easy/P005/000504,AbandonedFactory,AbandonedFactory,easy,P005,504,32,train,11.2031,15912.0,0,0.9072,0.6361,0.5513,0.2541,433aa3fce97479b10c4f01c3fc024ee53c375f7766686087c817c3a22147bcb2
AbandonedFactory/easy/P006/000234,AbandonedFactory,AbandonedFactory,easy,P006,234,32,train,11.793,16344.0,0,0.9835,0.245,0.4987,0.1502,471d7e3e0c11df94b9b050c3a4b574bcf5baa87aaf8d1d65d9512dbb38b630ac
AbandonedFactory/easy/P006/000735,AbandonedFactory,AbandonedFactory,easy,P006,735,32,train,3.7402,37.78,0,0.9961,0.2718,0.0358,0.0939,d2e4050e18ebcde5fefdfe236cc35fb7094e0d45f82712ca5bdba4824989f207
AbandonedFactory/easy/P008/000165,AbandonedFactory,AbandonedFactory,easy,P008,165,32,train,9.4219,15792.0,0,0.9807,0.3872,0.3424,0.1,3fb68445e632428e8a4f12f632cf213c928f55f113bd58cb21472d8e9dbf8a5a
AbandonedFactory/easy/P008/000528,AbandonedFactory,AbandonedFactory,easy,P008,528,32,train,4.8184,16336.0,0,0.9415,0.349,0.2342,0.1519,9ada7e607422781d025b3fddd7bcb0cb45704a6968de46f951bfe51249b735a3
AbandonedFactory/easy/P009/000163,AbandonedFactory,AbandonedFactory,easy,P009,163,32,train,6.0039,12464.0,0,0.9972,0.3273,0.4439,0.0791,8762c942b8b17d2c32932082209156e77173aa78ad88885d98e5de00f1706781
AbandonedFactory/easy/P009/000521,AbandonedFactory,AbandonedFactory,easy,P009,521,32,train,10.0391,15872.0,0,0.925,0.6198,0.5423,0.2132,637658fe62bb2742cc7c046a43c5a6250fb4d0960dda8bc0b5726158b8880f16
AbandonedFactory/hard/P000/000230,AbandonedFactory,AbandonedFactory,hard,P000,230,32,train,12056.0,16368.0,0,0.9332,0.2452,0.7097,0.1405,f265af792a6f3c68fd7f47d4558e1f43c84b34d256b15fa2d52fafc9c562e84e
AbandonedFactory/hard/P000/000722,AbandonedFactory,AbandonedFactory,hard,P000,722,32,train,12240.0,16368.0,0,0.9315,0.2293,0.6884,0.2124,01ad94629e34508a052ccbe06eab841f4b425fce9c91af95a758576c748af16b
AbandonedFactory/hard/P001/000136,AbandonedFactory,AbandonedFactory,hard,P001,136,32,train,12.582,16344.0,0,0.9234,0.3228,0.607,0.6525,beb71fe1981dacc3e6119b2a0b30e78b1f1211069a3e3fe57594d0cbed36e3a9
AbandonedFactory/hard/P001/000438,AbandonedFactory,AbandonedFactory,hard,P001,438,32,train,2.5938,16328.0,0,0.8415,0.3313,0.1354,0.5203,e5fdce3f7004dfc8c44e5ea973844e163844931f1b4d5b103cdacad386d48e18
AbandonedFactory/hard/P002/000078,AbandonedFactory,AbandonedFactory,hard,P002,78,32,train,2.4727,15184.0,0,0.9411,0.0352,0.4862,0.364,ce55bbdbbbd5d69f55e624e215475b1eb130b3d57ef7ca5bf0de2fb039778868
AbandonedFactory/hard/P002/000264,AbandonedFactory,AbandonedFactory,hard,P002,264,32,train,6.1289,16320.0,0,0.905,0.3527,0.1422,0.2928,0a8f119ff2242ec29433fae744864b65db8847b5a25e1b27140c37e55a30fc5d
AbandonedFactory/hard/P003/000110,AbandonedFactory,AbandonedFactory,hard,P003,110,32,train,4.5176,15288.0,0,0.8852,0.2969,0.3715,0.4198,20d1ff5379a8d63bae1790c1922f1801cf16513c72561c819d2838f7f9358d7c
AbandonedFactory/hard/P003/000361,AbandonedFactory,AbandonedFactory,hard,P003,361,32,train,12792.0,16376.0,0,0.9649,0.2207,0.7607,0.3586,4eaf1147e2cd33db053fdc7ecdc0d1c822cfbb6ad804062e6e59b79d1244aaee
AbandonedFactory/hard/P004/000107,AbandonedFactory,AbandonedFactory,hard,P004,107,32,train,4.2852,15744.0,0,0.9183,0.4066,0.5101,0.3402,d17110dff9fd0bc2f2ddf08e541cc394e6d5bb072b808bd4d124a9faf59ad4a1
AbandonedFactory/hard/P004/000353,AbandonedFactory,AbandonedFactory,hard,P004,353,32,train,3.3623,18.25,0,0.8902,0.2325,0.1002,0.561,bc65ba6af96d06b667187873e11b16e04f3997aa68a79492f34656258ca01b42
AbandonedFactory/hard/P005/000088,AbandonedFactory,AbandonedFactory,hard,P005,88,32,train,7.5859,16368.0,0,0.9468,0.3296,0.5244,0.2475,cb99f72b27a216746ffc98741e1bb2478124639b7624bc701d5803ab45489663
AbandonedFactory/hard/P005/000295,AbandonedFactory,AbandonedFactory,hard,P005,295,32,train,12816.0,16400.0,0,0.941,0.3063,0.8105,0.3453,6d27a42589e83154bdf355ce781a2647a2e3d5327d06ab559a8578a1e97d804a
AbandonedFactory/hard/P006/000104,AbandonedFactory,AbandonedFactory,hard,P006,104,32,train,5.6367,15984.0,0,0.8514,0.3298,0.2505,0.6565,c42f5c7fcfe0457968734e9b4237792546a8dd827c48e2e95ba117de162f5ccc
AbandonedFactory/hard/P006/000346,AbandonedFactory,AbandonedFactory,hard,P006,346,32,train,12136.0,16344.0,0,0.8801,0.3618,0.7331,0.4263,f2a4664abc71e6e1477a5adf7052aa5cf60eb0edb2cc2bdd6e4db352ade41521
AbandonedFactory/hard/P008/000088,AbandonedFactory,AbandonedFactory,hard,P008,88,32,train,24.6094,16344.0,0,0.941,0.3629,0.6651,0.3582,0904762e046cafecc5fc15e2b75880bdafe7fb0df4e35c32325f3c971dfa7e9e
AbandonedFactory/hard/P008/000295,AbandonedFactory,AbandonedFactory,hard,P008,295,32,train,20.1406,16344.0,0,0.9155,0.4648,0.765,0.2389,def6a3bb3e8dd149e491f1564e1cf50763ec3bc1ea88a65c1c4ed98c1a0cfcc2
AbandonedFactory/hard/P009/000091,AbandonedFactory,AbandonedFactory,hard,P009,91,32,train,8.1484,16128.0,0,0.9402,0.5469,0.5771,0.1329,03ae48cebf8c0dd7ae7d01c1f19dd8d409f82379634392884f5530b246a8348f
AbandonedFactory/hard/P009/000306,AbandonedFactory,AbandonedFactory,hard,P009,306,32,train,6.8828,16024.0,0,0.8954,0.5067,0.4275,0.3099,b83d20525894b2798faad746988cd9fdbdcad3e5e526d29096036ace1d0c5ee3
AbandonedFactory2/easy/P000/000216,AbandonedFactory2,AbandonedFactory,easy,P000,216,32,train,4.707,10.07,21,0.9534,0.3986,0.1468,0.1001,619dd6e2c4d079ab5d9944c1c027b6818c2d39f7de2f8f68bb28b98501cb2837
AbandonedFactory2/easy/P000/000678,AbandonedFactory2,AbandonedFactory,easy,P000,678,32,train,5.5957,17.84,0,0.9748,0.5263,0.1862,0.1184,d793c0b335cbad4675ecc16555b676989bf95e2a4cf806436a0f94a0411f6a6d
AbandonedFactory2/easy/P001/000135,AbandonedFactory2,AbandonedFactory,easy,P001,135,32,train,5.8711,34.75,169,0.9601,0.369,0.1785,0.1202,0f5586eb4b2396fc534c38e5c54acfd4f39ffdd53e17cf1d596d9588577fca5d
AbandonedFactory2/easy/P001/000437,AbandonedFactory2,AbandonedFactory,easy,P001,437,32,train,5.3906,14.2,236,0.9231,0.5222,0.369,0.2766,d62dadae782d4ce89b7692ca88f968ddd6c04adc83e15f7c3b973cd4d859d867
AbandonedFactory2/easy/P002/000132,AbandonedFactory2,AbandonedFactory,easy,P002,132,32,train,6.5938,14.89,232,0.9655,0.3686,0.1874,0.0856,2cb0165946cec656bb8b74d97ea2f29551d657bf399ae8eb2e96f41f20131bc1
AbandonedFactory2/easy/P002/000427,AbandonedFactory2,AbandonedFactory,easy,P002,427,32,train,6.1465,22.3,0,0.9935,0.3508,0.0954,0.1974,f3e77fa5a433f218f9d9b117ad3b24d8a37afe37bc32e3a2e21045506c124154
AbandonedFactory2/easy/P003/000131,AbandonedFactory2,AbandonedFactory,easy,P003,131,32,train,6.4453,35.31,28,0.9372,0.4584,0.1457,0.1885,54230d5ad95bacfe6b2cb8af7b2f29a0eeea69a32c1f2b3240c6d9ebc8c14484
AbandonedFactory2/easy/P003/000426,AbandonedFactory2,AbandonedFactory,easy,P003,426,32,train,8.9727,23.52,2,0.9847,0.4441,0.1056,0.1441,5293deafbfcc0d02a2a767d072490f97af37990893b25d93c3358689c3be8fa5
AbandonedFactory2/easy/P004/000118,AbandonedFactory2,AbandonedFactory,easy,P004,118,32,train,5.0156,15.05,8,0.9126,0.5225,0.2031,0.2068,f72875884b8af05677ebb7c0aec85b2e4143aff5080a5cb43caabf598c2d28c6
AbandonedFactory2/easy/P004/000386,AbandonedFactory2,AbandonedFactory,easy,P004,386,32,train,3.377,35.06,37,0.969,0.2562,0.195,0.0885,5b80008121f48f93dc2f6a5e21e05a8707919848e6e7eff6c3b6d6386e953470
AbandonedFactory2/easy/P005/000159,AbandonedFactory2,AbandonedFactory,easy,P005,159,32,train,7.5801,22.0,144,0.9733,0.6083,0.2369,0.1161,c9e2456942d0a8c23b84ccf58f078d1274949018b3eab4fb3d8487126472b929
AbandonedFactory2/easy/P005/000510,AbandonedFactory2,AbandonedFactory,easy,P005,510,32,train,8.8047,32.75,236,0.9541,0.604,0.2353,0.3069,6a05729a40d7e1cd863a6c818b65bb0608eef223e6561bedaa54df58edbc619a
AbandonedFactory2/hard/P000/000119,AbandonedFactory2,AbandonedFactory,hard,P000,119,32,train,3.8301,9.47,44,0.8978,0.4007,0.1386,0.2308,4ed8bb43f265ce931cd094489634c58a41afeb0c18fd98d0711c28d92e7dfa53
AbandonedFactory2/hard/P000/000389,AbandonedFactory2,AbandonedFactory,hard,P000,389,32,train,7.168,27.86,38,0.9151,0.5572,0.1862,0.1977,235a2dfcc3433b20a5e122198bb7fc4e31982267cee4a4af8bcc790e4ed97a8a
AbandonedFactory2/hard/P001/000075,AbandonedFactory2,AbandonedFactory,hard,P001,75,32,train,7.6602,15.59,155,0.9225,0.4284,0.2436,0.2448,410252b75bd3964470c34dc562b1dcf6491082fa08a87ed0905f61b4787f5995
AbandonedFactory2/hard/P001/000257,AbandonedFactory2,AbandonedFactory,hard,P001,257,32,train,4.6523,36.38,0,0.9186,0.4196,0.1173,0.2985,a3a55825b652741fd8632ceed7863c2ae6f0d53a14405d9d9ebf5a7320407bef
AbandonedFactory2/hard/P002/000066,AbandonedFactory2,AbandonedFactory,hard,P002,66,32,train,3.2051,10.38,1215,0.9283,0.2306,0.2775,0.2246,a48917551523a06699b6e7dc11d71f73b554db06e9d2d17c2c6475cc6754c7ef
AbandonedFactory2/hard/P002/000231,AbandonedFactory2,AbandonedFactory,hard,P002,231,32,train,4.8438,19.14,603,0.9386,0.3353,0.2378,0.1627,1c40237b6d109ca66f4372e7416aeecbcc01050f30de5c17c11ec6d1d2cf004f
AbandonedFactory2/hard/P003/000084,AbandonedFactory2,AbandonedFactory,hard,P003,84,32,train,3.7676,14.69,0,0.9614,0.2182,0.0628,0.2345,4d58dda881e2b6820a6eefbef1dfb47c67758927d10d04dd75731538ffcc7d73
AbandonedFactory2/hard/P003/000285,AbandonedFactory2,AbandonedFactory,hard,P003,285,32,train,6.3945,17.73,0,0.9523,0.2453,0.0802,0.3717,3e18ee7a47a43a0668b33d6502781bfb69cf5c39d283e946e8c9cfbf42dc9cfe
AbandonedFactory2/hard/P004/000082,AbandonedFactory2,AbandonedFactory,hard,P004,82,32,train,5.4258,25.64,1006,0.9144,0.328,0.236,0.2918,49d5f63dfe272d09cebf50d0c7e2e8202b38f476093b8111348819e9d13e7f5f
AbandonedFactory2/hard/P004/000279,AbandonedFactory2,AbandonedFactory,hard,P004,279,32,train,8.1016,24.64,43,0.9721,0.4214,0.0879,0.1499,d315173b3d93fb0982b44a34fbd11b4e9be8b26174af273b01460cd24199e902
AbandonedFactory2/hard/P005/000114,AbandonedFactory2,AbandonedFactory,hard,P005,114,32,train,3.9229,11.02,0,0.9445,0.1782,0.115,0.3453,7acd2ce05666889ce6526d89ea6b4f25ccb19bd5ba91b454b67d39fa793d5269
AbandonedFactory2/hard/P005/000375,AbandonedFactory2,AbandonedFactory,hard,P005,375,32,train,2.5195,7.18,0,0.9699,0.0318,0.1041,0.2263,0d520061bddb2fe8e5e6b9b8e0d87aa062c255c34cae8791b12ed1c220340866
AbandonedSchool/easy/P000/000324,AbandonedSchool,AbandonedSchool,easy,P000,324,32,train,2.2871,38464.0,0,0.9339,0.5837,0.5167,0.1527,544f904fdf52bcc09e4bc284b9f55070ecf23dc2e8fde44ac99708291f6ae735
AbandonedSchool/easy/P000/001004,AbandonedSchool,AbandonedSchool,easy,P000,1004,32,train,1.9922,39136.0,0,0.9266,0.2727,0.3508,0.1333,75a64a46418e50babe4c613d47e9e4a0465c1351746b1c49a24a9efa23cc1ad7
AbandonedSchool/easy/P001/000322,AbandonedSchool,AbandonedSchool,easy,P001,322,32,train,2.4141,34.69,0,0.953,0.2458,0.146,0.2056,a71f5480c3731d41f16596c8b926386f8580c3615a4f16efec06f30cad39efad
AbandonedSchool/easy/P001/000997,AbandonedSchool,AbandonedSchool,easy,P001,997,32,train,3.5586,38.84,0,0.9942,0.2409,0.2708,0.1138,59da9a3da4dd22e205ff2f2fab1426f3ec18e477f19129bdddcba3d5dc48514c
AbandonedSchool/easy/P002/000374,AbandonedSchool,AbandonedSchool,easy,P002,374,32,train,2.6934,34496.0,0,0.9087,0.4268,0.1204,0.2779,6de4661307d903f8b5d2548d53d9c4a468e80bc3d3728d252ec9e98bdc6d7d0c
AbandonedSchool/easy/P002/001156,AbandonedSchool,AbandonedSchool,easy,P002,1156,32,train,2.3789,16.02,0,0.8916,0.3416,0.2966,0.2383,e1ad7c11eb9c1f7e79a5314d9a2ee9670dabc30887430c855b1aabc2805153fe
AbandonedSchool/easy/P003/000412,AbandonedSchool,AbandonedSchool,easy,P003,412,32,train,3.0566,8.36,0,0.9918,0.5555,0.4835,0.0754,02ffe6503263d032fe3a8d70dff6dcc461b3f8eab142518b7e85ccecb081e5c4
AbandonedSchool/easy/P003/001266,AbandonedSchool,AbandonedSchool,easy,P003,1266,32,train,4.1953,35648.0,0,0.9899,0.2342,0.2235,0.0983,57c3739c68100fcd03928beec47058029accb147de69c495a0d9197b136df251
AbandonedSchool/easy/P004/000282,AbandonedSchool,AbandonedSchool,easy,P004,282,32,train,4.1211,40288.0,0,0.9822,0.1061,0.0997,0.3484,164cc800647b45fa7a6f13729d9fc389e9056d6958455923b1174f91032a2c6d
AbandonedSchool/easy/P004/000876,AbandonedSchool,AbandonedSchool,easy,P004,876,32,train,2.9414,12.45,0,0.9849,0.3322,0.1324,0.0929,d9225a6810b4dc44b254b0e8a6164a669381d049c8cb5db9ccbce548822a3499
AbandonedSchool/easy/P005/000311,AbandonedSchool,AbandonedSchool,easy,P005,311,32,train,3.418,6.09,0,0.9842,0.443,0.2009,0.159,d088a2d7b2cf65a47ec58dbda3a927527d5a4a1ad2baf541662dab3b34258326
AbandonedSchool/easy/P005/000965,AbandonedSchool,AbandonedSchool,easy,P005,965,32,train,2.4805,34464.0,0,0.8953,0.2848,0.2098,0.3769,c3cc4eb10ebf88cc79534585b1f5ce1e6142135d48351837481ca99fd65af8ac
AbandonedSchool/easy/P006/000462,AbandonedSchool,AbandonedSchool,easy,P006,462,32,train,2.3164,26.09,0,0.9149,0.4572,0.0945,0.2715,2c76c6e8453b1d69b1b341ce1ca06d4b837d0c3e5b37fa272e9af6565c93ae31
AbandonedSchool/easy/P006/001417,AbandonedSchool,AbandonedSchool,easy,P006,1417,32,train,2.7773,13.11,0,0.9502,0.1176,0.0984,0.1494,fe53ad60ce000cb2b2409f7d5876bda0a93e84e5d0b9e62d3e7f9b0a4d4ca38f
AbandonedSchool/easy/P007/000426,AbandonedSchool,AbandonedSchool,easy,P007,426,32,train,2.4121,32176.0,0,0.9425,0.4158,0.3039,0.1886,31a57d994251df5ffd921f15d7a8f8adf1f9abb88892cc5ba30598b9d261688b
AbandonedSchool/easy/P007/001311,AbandonedSchool,AbandonedSchool,easy,P007,1311,32,train,3.708,22.97,0,0.9858,0.1855,0.1861,0.0955,b8d0e326cd6f9f770326a35b5094fc84917d0d97393e3b6f085c7ebf6686e227
AbandonedSchool/easy/P008/000258,AbandonedSchool,AbandonedSchool,easy,P008,258,32,train,3.1094,35.88,0,0.9627,0.4929,0.2654,0.1534,8e81ec283d5bd9e2894902f2d6da843b73966b3020b9aa3ea3b9addc3e835e84
AbandonedSchool/easy/P008/000807,AbandonedSchool,AbandonedSchool,easy,P008,807,32,train,3.958,66.69,0,0.9849,0.6515,0.1597,0.1214,3354e6f008daa5051090fc0c75a8b3aee6060f5b4572ba3cbe8755632aa84f06
AbandonedSchool/easy/P009/000193,AbandonedSchool,AbandonedSchool,easy,P009,193,32,train,2.8506,31.28,0,0.9624,0.2208,0.2213,0.1025,8f4255b2b3a84c10aa819f5ef97993bb0fee006e745450750f6034e202285c99
AbandonedSchool/easy/P009/000611,AbandonedSchool,AbandonedSchool,easy,P009,611,32,train,3.0391,27.88,0,0.9742,0.6143,0.1831,0.1496,fe8dac3f3bd6b62d7243519edbaa9e4157506bf1de04869104ddfca320034189
AbandonedSchool/hard/P000/000199,AbandonedSchool,AbandonedSchool,hard,P000,199,32,train,3.0273,36896.0,0,0.9135,0.5271,0.443,0.3005,9d582896515850c98852bc9b1f1ff5cb3feacdc1b8ec55f1098c3c4296b313ca
