# Hypersim camera parameters for the test scenes: apple/ml-hypersim 3463c5c4a75f3cbfc65ed31cfd6e87204b3a2254
# contrib/mikeroberts3000/metadata_camera_parameters.csv (rays: M_cam_from_uv @ [u, v, 1], camera looking down -z)
scene_name,settings_output_img_width,settings_output_img_height,settings_units_info_meters_scale,M_cam_from_uv_00,M_cam_from_uv_01,M_cam_from_uv_02,M_cam_from_uv_10,M_cam_from_uv_11,M_cam_from_uv_12,M_cam_from_uv_20,M_cam_from_uv_21,M_cam_from_uv_22
ai_028_005,1024.0,768.0,0.009999999776482582,0.5779401139531133,0.0,-0.0,0.0,0.43331232744157355,-0.0,-0.020404262329307213,-0.01891892790754019,-1.0014373430491854
ai_028_006,1024.0,768.0,0.009999999776482582,0.5780718260273363,0.0,-0.0,0.0,0.43301294119705075,-0.0,-0.0,-0.02165064738247232,-1.001249740360493
ai_030_001,1024.0,768.0,0.009999999776482582,0.5773792089692963,0.0,-0.0,0.0,0.4332292283762774,-0.0,-0.017321375881915957,-0.0,-1.0003500154768907
ai_031_008,1024.0,768.0,0.009999999776482582,0.5773502884346712,0.0,-0.0,0.0,0.4330127163260034,-0.0,-0.0,-0.0,-1.000000000631295
ai_033_002,1024.0,768.0,0.009999999776482582,0.5773502884346713,0.0,-0.0,0.0,0.4330127163260034,-0.0,-0.0,-0.0,-1.000000000631295
ai_034_002,1024.0,768.0,0.009999999776482582,0.5773502885693453,0.0,-0.0,0.0,0.433012716427009,-0.0,-0.0,-0.0,-1.0000000001647702
ai_035_001,1024.0,768.0,0.009999999776482582,0.5773502884346712,0.0,-0.0,0.0,0.4330127163260034,-0.0,-0.0,-0.0,-1.000000000631295
ai_035_005,1024.0,768.0,0.009999999776482582,0.5773502886169104,0.0,0.0,0.0,0.4330127164626828,0.0,0.0,0.0,-1.0
ai_037_009,1024.0,768.0,0.009999999776482582,0.5773502885134933,0.0,-0.0,0.0,0.43301271638512,-0.0,-0.0,-0.0,-1.000000000358247
ai_039_002,1024.0,768.0,0.009999999776482582,0.5774308814695878,0.0,-0.0,0.0,0.4336141646535379,-0.0,-0.028871544503698922,-0.0,-1.000972347117973
ai_041_002,1024.0,768.0,0.009999999776482582,0.5773688253905332,0.0,-0.0,0.0,0.4330127164747778,-0.0,-0.0,-0.0034698949347845565,-1.0000321075796157
ai_041_004,1024.0,768.0,0.009999999776482582,0.5773502884346711,0.0,-0.0,0.0,0.43301271632600336,-0.0,-0.0,-0.0,-1.0000000006312948
ai_041_006,1024.0,768.0,0.009999999776482582,0.5773502884346712,0.0,-0.0,0.0,0.43301271632600336,-0.0,-0.0,-0.0,-1.0000000006312948
ai_041_007,1024.0,768.0,0.009999999776482582,0.5917716252369174,0.0,-0.0,0.0,0.43309846467927854,-0.0,0.0,-0.09700335889774327,-1.0249784874103218
ai_044_004,1024.0,768.0,0.009999999776482582,0.5859437528679018,0.0,-0.0,0.0,0.4354028775375183,-0.0,-0.05859437615991441,-0.07401848995993912,-1.018256062290048
ai_048_008,1024.0,768.0,0.009999999776482582,0.5785406094819195,0.0,-0.0,0.0,0.4411796239975057,-0.0,0.10655399241402141,-0.004579444442397692,-1.0132667945087213
ai_048_010,1024.0,768.0,0.009999999776482582,0.5773502884346712,0.0,-0.0,0.0,0.4330127163260034,-0.0,-0.0,-0.0,-1.000000000631295
ai_051_001,1024.0,768.0,0.009999999776482582,0.5777022928395121,0.0,-0.0,0.0,0.4330127699138586,-0.0,-0.0,0.015121404185600536,-1.0006096901250294
ai_052_009,1024.0,768.0,0.009999999776482582,0.5780937373409292,0.0,-0.0,0.0,0.4330129550439043,-0.0,-0.0,0.021976997351718437,-1.001287691867655
ai_053_007,1024.0,768.0,0.009999999776482582,0.5814260326122862,0.0,-0.0,0.0,0.4330198090987073,-0.0,-0.0,0.051482764982124646,-1.00705939639472
ai_053_010,1024.0,768.0,0.009999999776482582,0.5773502887848241,0.0,-0.0,0.0,0.4330127165886181,0.0,-0.0,-0.0,-0.9999999994183304
ai_054_005,1024.0,768.0,0.009999999776482582,0.5804056483276409,0.0,-0.0,0.0,0.4330167162103915,-0.0,-0.0,-0.0445679433656995,-1.0052920390282658
ai_054_007,1024.0,768.0,0.009999999776482582,0.5773502884346712,0.0,-0.0,0.0,0.43301271632600336,-0.0,-0.0,-0.0,-1.000000000631295
